Date,NOVA7,p_up,position
2005-08-08,0.0,,BIL
2005-08-09,0.0,,BIL
2005-08-10,0.0,,BIL
2005-08-11,0.0,,BIL
2005-08-12,0.0,,BIL
2005-08-15,0.0,,BIL
2005-08-16,0.0,,BIL
2005-08-17,0.0,,BIL
2005-08-18,0.0,,BIL
2005-08-19,0.0,,BIL
2005-08-22,0.0,,BIL
2005-08-23,0.0,,BIL
2005-08-24,0.0,,BIL
2005-08-25,0.0,,BIL
2005-08-26,0.0,,BIL
2005-08-29,0.0,,BIL
2005-08-30,0.0,,BIL
2005-08-31,0.0,,BIL
2005-09-01,0.0,,BIL
2005-09-02,0.0,,BIL
2005-09-06,0.0,,BIL
2005-09-07,0.0,,BIL
2005-09-08,0.0,,BIL
2005-09-09,0.0,,BIL
2005-09-12,0.0,,BIL
2005-09-13,0.0,,BIL
2005-09-14,0.0,,BIL
2005-09-15,0.0,,BIL
2005-09-16,0.0,,BIL
2005-09-19,0.0,,BIL
2005-09-20,0.0,,BIL
2005-09-21,0.0,,BIL
2005-09-22,0.0,,BIL
2005-09-23,0.0,,BIL
2005-09-26,0.0,,BIL
2005-09-27,0.0,,BIL
2005-09-28,0.0,,BIL
2005-09-29,0.0,,BIL
2005-09-30,0.0,,BIL
2005-10-03,0.0,,BIL
2005-10-04,0.0,,BIL
2005-10-05,0.0,,BIL
2005-10-06,0.0,,BIL
2005-10-07,0.0,,BIL
2005-10-10,0.0,,BIL
2005-10-11,0.0,,BIL
2005-10-12,0.0,,BIL
2005-10-13,0.0,,BIL
2005-10-14,0.0,,BIL
2005-10-17,0.0,,BIL
2005-10-18,0.0,,BIL
2005-10-19,0.0,,BIL
2005-10-20,0.0,,BIL
2005-10-21,0.0,,BIL
2005-10-24,0.0,,BIL
2005-10-25,0.0,,BIL
2005-10-26,0.0,,BIL
2005-10-27,0.0,,BIL
2005-10-28,0.0,,BIL
2005-10-31,0.0,,BIL
2005-11-01,0.0,,BIL
2005-11-02,0.0,,BIL
2005-11-03,0.0,,BIL
2005-11-04,0.0,,BIL
2005-11-07,0.0,,BIL
2005-11-08,0.0,,BIL
2005-11-09,0.0,,BIL
2005-11-10,0.0,,BIL
2005-11-11,0.0,,BIL
2005-11-14,0.0,,BIL
2005-11-15,0.0,,BIL
2005-11-16,0.0,,BIL
2005-11-17,0.0,,BIL
2005-11-18,0.0,,BIL
2005-11-21,0.0,,BIL
2005-11-22,0.0,,BIL
2005-11-23,0.0,,BIL
2005-11-25,0.0,,BIL
2005-11-28,0.0,,BIL
2005-11-29,0.0,,BIL
2005-11-30,0.0,,BIL
2005-12-01,0.0,,BIL
2005-12-02,0.0,,BIL
2005-12-05,0.0,,BIL
2005-12-06,0.0,,BIL
2005-12-07,0.0,,BIL
2005-12-08,0.0,,BIL
2005-12-09,0.0,,BIL
2005-12-12,0.0,,BIL
2005-12-13,0.0,,BIL
2005-12-14,0.0,,BIL
2005-12-15,0.0,,BIL
2005-12-16,0.0,,BIL
2005-12-19,0.0,,BIL
2005-12-20,0.0,,BIL
2005-12-21,0.0,,BIL
2005-12-22,0.0,,BIL
2005-12-23,0.0,,BIL
2005-12-27,0.0,,BIL
2005-12-28,0.0,,BIL
2005-12-29,0.0,,BIL
2005-12-30,0.0,,BIL
2006-01-03,0.0,,BIL
2006-01-04,0.0,,BIL
2006-01-05,0.0,,BIL
2006-01-06,0.0,,BIL
2006-01-09,0.0,,BIL
2006-01-10,0.0,,BIL
2006-01-11,0.0,,BIL
2006-01-12,0.0,,BIL
2006-01-13,0.0,,BIL
2006-01-17,0.0,,BIL
2006-01-18,0.0,,BIL
2006-01-19,0.0,,BIL
2006-01-20,0.0,,BIL
2006-01-23,0.0,,BIL
2006-01-24,0.0,,BIL
2006-01-25,0.0,,BIL
2006-01-26,0.0,,BIL
2006-01-27,0.0,,BIL
2006-01-30,0.0,,BIL
2006-01-31,0.0,,BIL
2006-02-01,0.0,,BIL
2006-02-02,0.0,,BIL
2006-02-03,0.0,,BIL
2006-02-06,0.0,,BIL
2006-02-07,0.0,,BIL
2006-02-08,0.0,,BIL
2006-02-09,0.0,,BIL
2006-02-10,0.0,,BIL
2006-02-13,0.0,,BIL
2006-02-14,0.0,,BIL
2006-02-15,0.0,,BIL
2006-02-16,0.0,,BIL
2006-02-17,0.0,,BIL
2006-02-21,0.0,,BIL
2006-02-22,0.0,,BIL
2006-02-23,0.0,,BIL
2006-02-24,0.0,,BIL
2006-02-27,0.0,,BIL
2006-02-28,0.0,,BIL
2006-03-01,0.0,,BIL
2006-03-02,0.0,,BIL
2006-03-03,0.0,,BIL
2006-03-06,0.0,,BIL
2006-03-07,0.0,,BIL
2006-03-08,0.0,,BIL
2006-03-09,0.0,,BIL
2006-03-10,0.0,,BIL
2006-03-13,0.0,,BIL
2006-03-14,0.0,,BIL
2006-03-15,0.0,,BIL
2006-03-16,0.0,,BIL
2006-03-17,0.0,,BIL
2006-03-20,0.0,,BIL
2006-03-21,0.0,,BIL
2006-03-22,0.0,,BIL
2006-03-23,0.0,,BIL
2006-03-24,0.0,,BIL
2006-03-27,0.0,,BIL
2006-03-28,0.0,,BIL
2006-03-29,0.0,,BIL
2006-03-30,0.0,,BIL
2006-03-31,0.0,,BIL
2006-04-03,0.0,,BIL
2006-04-04,0.0,,BIL
2006-04-05,0.0,,BIL
2006-04-06,0.0,,BIL
2006-04-07,0.0,,BIL
2006-04-10,0.0,,BIL
2006-04-11,0.0,,BIL
2006-04-12,0.0,,BIL
2006-04-13,0.0,,BIL
2006-04-17,0.0,,BIL
2006-04-18,0.0,,BIL
2006-04-19,0.0,,BIL
2006-04-20,0.0,,BIL
2006-04-21,0.0,,BIL
2006-04-24,0.0,,BIL
2006-04-25,0.0,,BIL
2006-04-26,0.0,,BIL
2006-04-27,0.0,,BIL
2006-04-28,0.0,,BIL
2006-05-01,0.0,,BIL
2006-05-02,0.0,,BIL
2006-05-03,0.0,,BIL
2006-05-04,0.0,,BIL
2006-05-05,0.0,,BIL
2006-05-08,0.0,,BIL
2006-05-09,0.0,,BIL
2006-05-10,0.0,,BIL
2006-05-11,0.0,,BIL
2006-05-12,0.0,,BIL
2006-05-15,0.0,,BIL
2006-05-16,0.0,,BIL
2006-05-17,0.0,,BIL
2006-05-18,0.0,,BIL
2006-05-19,0.0,,BIL
2006-05-22,0.0,,BIL
2006-05-23,0.0,,BIL
2006-05-24,0.0,,BIL
2006-05-25,0.0,,BIL
2006-05-26,0.0,,BIL
2006-05-30,0.0,,BIL
2006-05-31,0.0,,BIL
2006-06-01,0.0,,BIL
2006-06-02,0.0,,BIL
2006-06-05,0.0,,BIL
2006-06-06,0.0,,BIL
2006-06-07,0.0,,BIL
2006-06-08,0.0,,BIL
2006-06-09,0.0,,BIL
2006-06-12,0.0,,BIL
2006-06-13,0.0,,BIL
2006-06-14,0.0,,BIL
2006-06-15,0.0,,BIL
2006-06-16,0.0,,BIL
2006-06-19,0.0,,BIL
2006-06-20,0.0,,BIL
2006-06-21,0.0,,BIL
2006-06-22,0.0,,BIL
2006-06-23,0.0,,BIL
2006-06-26,0.0,,BIL
2006-06-27,0.0,,BIL
2006-06-28,0.0,,BIL
2006-06-29,0.0,,BIL
2006-06-30,0.0,,BIL
2006-07-03,0.0,,BIL
2006-07-05,0.0,,BIL
2006-07-06,0.0,,BIL
2006-07-07,0.0,,BIL
2006-07-10,0.0,,BIL
2006-07-11,0.0,,BIL
2006-07-12,0.0,,BIL
2006-07-13,0.0,,BIL
2006-07-14,0.0,,BIL
2006-07-17,0.0,,BIL
2006-07-18,0.0,,BIL
2006-07-19,0.0,,BIL
2006-07-20,0.0,,BIL
2006-07-21,0.0,,BIL
2006-07-24,0.0,,BIL
2006-07-25,0.0,,BIL
2006-07-26,0.0,,BIL
2006-07-27,0.0,,BIL
2006-07-28,0.0,,BIL
2006-07-31,0.0,,BIL
2006-08-01,0.0,,BIL
2006-08-02,0.0,,BIL
2006-08-03,0.0,,BIL
2006-08-04,0.0,,BIL
2006-08-07,0.0,,BIL
2006-08-08,0.0,,BIL
2006-08-09,0.0,,BIL
2006-08-10,0.0,,BIL
2006-08-11,0.0,,BIL
2006-08-14,0.0,,BIL
2006-08-15,0.0,,BIL
2006-08-16,0.0,,BIL
2006-08-17,0.0,,BIL
2006-08-18,0.0,,BIL
2006-08-21,0.0,,BIL
2006-08-22,0.0,,BIL
2006-08-23,0.0,,BIL
2006-08-24,0.0,,BIL
2006-08-25,0.0,,BIL
2006-08-28,0.0,,BIL
2006-08-29,0.0,,BIL
2006-08-30,0.0,,BIL
2006-08-31,0.0,,BIL
2006-09-01,0.0,,BIL
2006-09-05,0.0,,BIL
2006-09-06,0.0,,BIL
2006-09-07,0.0,,BIL
2006-09-08,0.0,,BIL
2006-09-11,0.0,,BIL
2006-09-12,0.0,,BIL
2006-09-13,0.0,,BIL
2006-09-14,0.0,,BIL
2006-09-15,0.0,,BIL
2006-09-18,0.0,,BIL
2006-09-19,0.0,,BIL
2006-09-20,0.0,,BIL
2006-09-21,0.0,,BIL
2006-09-22,0.0,,BIL
2006-09-25,0.0,,BIL
2006-09-26,0.0,,BIL
2006-09-27,0.0,,BIL
2006-09-28,0.0,,BIL
2006-09-29,0.0,,BIL
2006-10-02,0.0,,BIL
2006-10-03,0.0,,BIL
2006-10-04,0.0,,BIL
2006-10-05,0.0,,BIL
2006-10-06,0.0,,BIL
2006-10-09,0.0,,BIL
2006-10-10,0.0,,BIL
2006-10-11,0.0,,BIL
2006-10-12,0.0,,BIL
2006-10-13,0.0,,BIL
2006-10-16,0.0,,BIL
2006-10-17,0.0,,BIL
2006-10-18,0.0,,BIL
2006-10-19,0.0,,BIL
2006-10-20,0.0,,BIL
2006-10-23,0.0,,BIL
2006-10-24,0.0,,BIL
2006-10-25,0.0,,BIL
2006-10-26,0.0,,BIL
2006-10-27,0.0,,BIL
2006-10-30,0.0,,BIL
2006-10-31,0.0,,BIL
2006-11-01,0.0,,BIL
2006-11-02,0.0,,BIL
2006-11-03,0.0,,BIL
2006-11-06,0.0,,BIL
2006-11-07,0.0,,BIL
2006-11-08,0.0,,BIL
2006-11-09,0.0,,BIL
2006-11-10,0.0,,BIL
2006-11-13,0.0,,BIL
2006-11-14,0.0,,BIL
2006-11-15,0.0,,BIL
2006-11-16,0.0,,BIL
2006-11-17,0.0,,BIL
2006-11-20,0.0,,BIL
2006-11-21,0.0,,BIL
2006-11-22,0.0,,BIL
2006-11-24,0.0,,BIL
2006-11-27,0.0,,BIL
2006-11-28,0.0,,BIL
2006-11-29,0.0,,BIL
2006-11-30,0.0,,BIL
2006-12-01,0.0,,BIL
2006-12-04,0.0,,BIL
2006-12-05,0.0,,BIL
2006-12-06,0.0,,BIL
2006-12-07,0.0,,BIL
2006-12-08,0.0,,BIL
2006-12-11,0.0,,BIL
2006-12-12,0.0,,BIL
2006-12-13,0.0,,BIL
2006-12-14,0.0,,BIL
2006-12-15,0.0,,BIL
2006-12-18,0.0,,BIL
2006-12-19,0.0,,BIL
2006-12-20,0.0,,BIL
2006-12-21,0.0,,BIL
2006-12-22,0.0,,BIL
2006-12-26,0.0,,BIL
2006-12-27,0.0,,BIL
2006-12-28,0.0,,BIL
2006-12-29,0.0,,BIL
2007-01-03,0.0,,BIL
2007-01-04,0.0,,BIL
2007-01-05,0.0,,BIL
2007-01-08,0.0,,BIL
2007-01-09,0.0,,BIL
2007-01-10,0.0,,BIL
2007-01-11,0.0,,BIL
2007-01-12,0.0,,BIL
2007-01-16,0.0,,BIL
2007-01-17,0.0,,BIL
2007-01-18,0.0,,BIL
2007-01-19,0.0,,BIL
2007-01-22,0.0,,BIL
2007-01-23,0.0,,BIL
2007-01-24,0.0,,BIL
2007-01-25,0.0,,BIL
2007-01-26,0.0,,BIL
2007-01-29,0.0,,BIL
2007-01-30,0.0,,BIL
2007-01-31,0.0,,BIL
2007-02-01,0.0,,BIL
2007-02-02,0.0,,BIL
2007-02-05,0.0,,BIL
2007-02-06,0.0,,BIL
2007-02-07,0.0,,BIL
2007-02-08,0.0,,BIL
2007-02-09,0.0,,BIL
2007-02-12,0.0,,BIL
2007-02-13,0.0,,BIL
2007-02-14,0.0,,BIL
2007-02-15,0.0,,BIL
2007-02-16,0.0,,BIL
2007-02-20,0.0,,BIL
2007-02-21,0.0,,BIL
2007-02-22,0.0,,BIL
2007-02-23,0.0,,BIL
2007-02-26,0.0,,BIL
2007-02-27,0.0,,BIL
2007-02-28,0.0,,BIL
2007-03-01,0.0,,BIL
2007-03-02,0.0,,BIL
2007-03-05,0.0,,BIL
2007-03-06,0.0,,BIL
2007-03-07,0.0,,BIL
2007-03-08,0.0,,BIL
2007-03-09,0.0,,BIL
2007-03-12,0.0,,BIL
2007-03-13,0.0,,BIL
2007-03-14,0.0,,BIL
2007-03-15,0.0,,BIL
2007-03-16,0.0,,BIL
2007-03-19,0.0,,BIL
2007-03-20,0.0,,BIL
2007-03-21,0.0,,BIL
2007-03-22,0.0,,BIL
2007-03-23,0.0,,BIL
2007-03-26,0.0,,BIL
2007-03-27,0.0,,BIL
2007-03-28,0.0,,BIL
2007-03-29,0.0,,BIL
2007-03-30,0.0,,BIL
2007-04-02,0.0,,BIL
2007-04-03,0.0,,BIL
2007-04-04,0.0,,BIL
2007-04-05,0.0,,BIL
2007-04-09,0.0,,BIL
2007-04-10,0.0,,BIL
2007-04-11,0.0,,BIL
2007-04-12,0.0,,BIL
2007-04-13,0.0,,BIL
2007-04-16,0.0,,BIL
2007-04-17,0.0,,BIL
2007-04-18,0.0,,BIL
2007-04-19,0.0,,BIL
2007-04-20,0.0,,BIL
2007-04-23,0.0,,BIL
2007-04-24,0.0,,BIL
2007-04-25,0.0,,BIL
2007-04-26,0.0,,BIL
2007-04-27,0.0,,BIL
2007-04-30,0.0,,BIL
2007-05-01,0.0,,BIL
2007-05-02,0.0,,BIL
2007-05-03,0.0,,BIL
2007-05-04,0.0,,BIL
2007-05-07,0.0,,BIL
2007-05-08,0.0,,BIL
2007-05-09,0.0,,BIL
2007-05-10,0.0,,BIL
2007-05-11,0.0,,BIL
2007-05-14,0.0,,BIL
2007-05-15,0.0,,BIL
2007-05-16,0.0,,BIL
2007-05-17,0.0,,BIL
2007-05-18,0.0,,BIL
2007-05-21,0.0,,BIL
2007-05-22,0.0,,BIL
2007-05-23,0.0,,BIL
2007-05-24,0.0,,BIL
2007-05-25,0.0,,BIL
2007-05-29,0.0,,BIL
2007-05-30,0.0,,BIL
2007-05-31,0.0,,BIL
2007-06-01,0.00021834152364030857,,BIL
2007-06-04,0.00021807963741360403,,BIL
2007-06-05,0.0,,BIL
2007-06-06,0.00043670670882378637,,BIL
2007-06-07,-0.0002187932481945154,,BIL
2007-06-08,0.00021884112915593334,,BIL
2007-06-11,0.000436301995910382,,BIL
2007-06-12,-0.0008724374290421943,,BIL
2007-06-13,0.0008731992407429168,,BIL
2007-06-14,0.000435683739399062,,BIL
2007-06-15,0.0008720574877749687,,BIL
2007-06-18,0.0002180915546423634,,BIL
2007-06-19,0.0,,BIL
2007-06-20,0.00021708251357610564,,BIL
2007-06-21,0.0,,BIL
2007-06-22,0.0008715594762440659,,BIL
2007-06-25,-0.0004356136923990839,,BIL
2007-06-26,0.00021768824267831555,,BIL
2007-06-27,-0.0002176408648209005,,BIL
2007-06-28,0.00043580353438588126,,BIL
2007-06-29,0.0004345465348969402,,BIL
2007-07-02,0.0002837405970925744,,BIL
2007-07-03,0.0,,BIL
2007-07-05,0.0,,BIL
2007-07-06,0.0004363673590390693,,BIL
2007-07-09,0.00021883466119310135,,BIL
2007-07-10,0.00021750795140218493,,BIL
2007-07-11,0.0,,BIL
2007-07-12,0.00021873920554527082,,BIL
2007-07-13,0.00021773266370250788,,BIL
2007-07-16,0.00021779176615055462,,BIL
2007-07-17,0.00043612754515987007,,BIL
2007-07-18,-0.0002176494203182111,,BIL
2007-07-19,0.0002176968019009795,,BIL
2007-07-20,0.0004355117007051046,,BIL
2007-07-23,0.0,,BIL
2007-07-24,0.0,,BIL
2007-07-25,0.00021861850974302932,,BIL
2007-07-26,0.00021697531937658887,,BIL
2007-07-27,0.0004355579006491972,,BIL
2007-07-30,-0.0008706302540346655,,BIL
2007-07-31,0.0013077748614458429,,BIL
2007-08-01,-0.0003287212837681519,,BIL
2007-08-02,0.00021882989243970918,,BIL
2007-08-03,-0.0004372452634596735,,BIL
2007-08-06,0.0010926877514263467,,BIL
2007-08-07,0.00021810788121245928,,BIL
2007-08-08,-0.00043643913229407527,,BIL
2007-08-09,0.0008731531790646674,,BIL
2007-08-10,0.0006543201151332223,,BIL
2007-08-13,0.00021845897764594113,,BIL
2007-08-14,-0.00021841126374455566,,BIL
2007-08-15,0.00021845897764594113,,BIL
2007-08-16,0.001307922985219756,,BIL
2007-08-17,0.0006524719602238882,,BIL
2007-08-20,0.0008693953575389379,,BIL
2007-08-21,-0.00021790011949085475,,BIL
2007-08-22,0.0,,BIL
2007-08-23,-0.0006508818735584398,,BIL
2007-08-24,-0.00021808956084312658,,BIL
2007-08-27,-0.0013054359117650183,,BIL
2007-08-28,0.001089991777106336,,BIL
2007-08-29,0.0006528595396042558,,BIL
2007-08-30,0.00021740733448760707,,BIL
2007-08-31,-0.00021736007881234531,,BIL
2007-09-04,0.00015244961994986816,,BIL
2007-09-05,0.00021779730866411384,,BIL
2007-09-06,0.0,,BIL
2007-09-07,0.0006549417326058293,,BIL
2007-09-10,0.00021834716480539917,,BIL
2007-09-11,-0.00109022954414284,,BIL
2007-09-12,0.0015279660629692327,,BIL
2007-09-13,-0.00021852119766518907,,BIL
2007-09-14,0.0006536997206880724,,BIL
2007-09-17,0.00043579664005855,,BIL
2007-09-18,-0.0006534102061154234,,BIL
2007-09-19,0.0004356804323097929,,BIL
2007-09-20,-0.0006523916629812554,,BIL
2007-09-21,0.00043503567577696245,,BIL
2007-09-24,0.0008721211345745772,,BIL
2007-09-25,0.00021728653628283467,,BIL
2007-09-26,-0.001088411241228604,,BIL
2007-09-27,0.00021768717824621753,,BIL
2007-09-28,-0.00043549069753445746,,BIL
2007-10-01,0.0010937416184841897,,BIL
2007-10-02,-0.0006554436100154604,,BIL
2007-10-03,0.00021816712594002752,,BIL
2007-10-04,0.0010924971415999796,,BIL
2007-10-05,-0.001091304894122458,,BIL
2007-10-08,0.0015298969920714,,BIL
2007-10-09,-0.000654201954218947,,BIL
2007-10-10,0.000872980862741235,,BIL
2007-10-11,-0.00021816019847842316,,BIL
2007-10-12,0.00021820780273595908,,BIL
2007-10-15,-0.0004363203969567353,,BIL
2007-10-16,0.0006547662833198409,,BIL
2007-10-17,0.0004359092773689177,,BIL
2007-10-18,0.0,,BIL
2007-10-19,0.0008716492298221912,,BIL
2007-10-22,-0.00043533987959420983,,BIL
2007-10-23,0.0,,BIL
2007-10-24,0.00043552948294678373,,BIL
2007-10-25,-0.00021782770974621002,,BIL
2007-10-26,-0.0004352243235796749,,BIL
2007-10-29,0.0008714591446692399,,BIL
2007-10-30,-0.00043566565358366116,,BIL
2007-10-31,0.00021787516899518522,,BIL
2007-11-01,0.0006776745214365221,,BIL
2007-11-02,0.0006549325375340143,,BIL
2007-11-05,0.0,,BIL
2007-11-06,0.0,,BIL
2007-11-07,0.0006546089215884177,,BIL
2007-11-08,-0.0006541806890730806,,BIL
2007-11-09,0.0008724617623097064,,BIL
2007-11-12,0.0004363753600515885,,BIL
2007-11-13,-0.00021809250982829376,,BIL
2007-11-14,-0.0004357555416657499,,BIL
2007-11-15,0.0006541806890731916,,BIL
2007-11-16,0.0,,BIL
2007-11-19,0.00043555560404384686,,BIL
2007-11-20,0.0002178927028384514,,BIL
2007-11-21,0.00043579530599080485,,BIL
2007-11-23,0.00021816949506336947,,BIL
2007-11-26,-0.0006536323635918384,,BIL
2007-11-27,0.0008710664415390035,,BIL
2007-11-28,0.0002175509005737375,,BIL
2007-11-29,-0.0006523013072834427,,BIL
2007-11-30,0.00021816949506336947,,BIL
2007-12-03,-0.0002406465041144834,,BIL
2007-12-04,0.00021869836434151857,,BIL
2007-12-05,0.0,,BIL
2007-12-06,0.00021770763499007195,,BIL
2007-12-07,0.0008735738566369999,,BIL
2007-12-10,-0.0006546085435676918,,BIL
2007-12-11,0.001309551062228742,,BIL
2007-12-12,-0.00021826938835101117,,BIL
2007-12-13,0.0004356926079336354,,BIL
2007-12-14,-0.0006535157001135161,,BIL
2007-12-17,0.00043652007286065775,,BIL
2007-12-18,0.0,,BIL
2007-12-19,0.0004351791686290074,,BIL
2007-12-20,0.0004358261880419434,,BIL
2007-12-21,0.0,,BIL
2007-12-24,0.0,,BIL
2007-12-26,-0.00043563632632248606,,BIL
2007-12-27,0.0004358261880419434,,BIL
2007-12-28,-2.1839288126934697e-05,,BIL
2007-12-31,-0.00021797966498426913,,BIL
2008-01-02,0.0008733629931141351,,BIL
2008-01-03,-0.000654763956027482,,BIL
2008-01-04,-0.00021797966498426913,,BIL
2008-01-07,0.0008733629931141351,,BIL
2008-01-08,-0.000654763956027482,,BIL
2008-01-09,-0.0006554019457245541,,BIL
2008-01-10,0.0004377091561729163,,BIL
2008-01-11,0.00043657697729027056,,BIL
2008-01-14,0.0008730863429842195,,BIL
2008-01-15,-0.0002180550864141484,,BIL
2008-01-16,0.0,,BIL
2008-01-17,-0.00043641410018457893,,BIL
2008-01-18,0.0006548025100379107,,BIL
2008-01-22,0.0004362145553491459,,BIL
2008-01-23,0.0010899043824359467,,BIL
2008-01-24,0.00043586231795167407,,BIL
2008-01-25,-0.0010879309258142733,,BIL
2008-01-28,0.0004349997163271002,,BIL
2008-01-29,0.0008719145623805602,,BIL
2008-01-30,0.000434744252371555,,BIL
2008-01-31,0.0,,BIL
2008-02-01,-0.00010858677796166116,,BIL
2008-02-04,0.0002179259901264885,,BIL
2008-02-05,-0.000653843723542713,,BIL
2008-02-06,0.000872084241754445,,BIL
2008-02-07,-0.00021762294135041493,,BIL
2008-02-08,0.0,,BIL
2008-02-11,0.0002176703114038503,,BIL
2008-02-12,-0.00021762294135041493,,BIL
2008-02-13,0.0002176703114038503,,BIL
2008-02-14,0.0002181433214110129,,BIL
2008-02-15,0.0,,BIL
2008-02-19,0.0,,BIL
2008-02-20,-0.0004356712239936833,,BIL
2008-02-21,0.0008724509229440791,,BIL
2008-02-22,0.0,,BIL
2008-02-25,-0.00043620923565412806,,BIL
2008-02-26,0.0006538710225880706,,BIL
2008-02-27,0.00021816120261930472,,BIL
2008-02-28,0.0,,BIL
2008-02-29,0.00021717795493003678,,BIL
2008-03-03,0.0003716896777847811,,BIL
2008-03-04,0.0,,BIL
2008-03-05,-0.00021850474388029895,,BIL
2008-03-06,0.00043585790741240693,,BIL
2008-03-07,0.0,,BIL
2008-03-10,0.0,,BIL
2008-03-11,0.0,,BIL
2008-03-12,0.00021866504006196053,,BIL
2008-03-13,-0.0002186172361152705,,BIL
2008-03-14,0.0013082506007315864,,BIL
2008-03-17,-0.0002175493998977096,,BIL
